,func,url,url_f
111,Richart Life,/TSB/personal/digital/Digital-Platform/Richart-Life/key-function/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/Richart-Life/key-function/
112,LINE個人化服務,/TSB/personal/digital/Digital-Platform/line/personalize/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/line/personalize/
113,智能客服,/TSB/personal/digital/Innovative-Service/AI-Chatbot/,https://www.taishinbank.com.tw/TSB/personal/digital/Innovative-Service/AI-Chatbot/
114,行動支付,/TSB/personal/digital/Innovative-Service/payment/,https://www.taishinbank.com.tw/TSB/personal/digital/Innovative-Service/payment/
115,帳號連結扣款服務,/TSB/personal/digital/Innovative-Service/e-Payment/login/,https://www.taishinbank.com.tw/TSB/personal/digital/Innovative-Service/e-Payment/login/
116,申請網銀/行銀會員,/TSB/personal/digital/online-application/memberapply/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/memberapply/
117,開立Richart帳戶,/TSB/personal/digital/online-application/online-richart-account-opening/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/online-richart-account-opening/
118,整合式線上開戶,/TSB/personal/digital/online-application/InteAcct/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/InteAcct/
119,申辦信用卡,/TSB/personal/digital/online-application/online-credit-card/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/online-credit-card/
120,申辦信貸,/TSB/personal/digital/online-application/online-credit/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/online-credit/
121,申辦房貸,/TSB/personal/digital/online-application/online-application-for-mortgage/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/online-application-for-mortgage/
122,預約分行服務,/TSB/personal/digital/online-application/branch-service/,https://www.taishinbank.com.tw/TSB/personal/digital/online-application/branch-service/
