,func,url,url_f
101,e指Fun心保,/TSB/personal/insurance/internet/taishin-insurance/,https://www.taishinbank.com.tw/TSB/personal/insurance/internet/taishin-insurance/
102,案件查詢,/TSB/personal/insurance/internet/progress/,https://www.taishinbank.com.tw/TSB/personal/insurance/internet/progress/
103,保險公司專區,/TSB/personal/insurance/internet/other-choices/,https://www.taishinbank.com.tw/TSB/personal/insurance/internet/other-choices/
104,熱銷產品,/TSB/personal/insurance/telemarketing/hot-product/,https://www.taishinbank.com.tw/TSB/personal/insurance/telemarketing/hot-product/
105,友邦人壽,/TSB/personal/insurance/telemarketing/aia/,https://www.taishinbank.com.tw/TSB/personal/insurance/telemarketing/aia/
106,康健人壽,/TSB/personal/insurance/telemarketing/cigna/,https://www.taishinbank.com.tw/TSB/personal/insurance/telemarketing/cigna/
107,安達產物,/TSB/personal/insurance/telemarketing/chubb/,https://www.taishinbank.com.tw/TSB/personal/insurance/telemarketing/chubb/
108,金融監督管理委員會保險局,/TSB/personal/insurance/policy/ib/,https://www.taishinbank.com.tw/TSB/personal/insurance/policy/ib/
109,實質課稅原則,/TSB/personal/insurance/policy/taxation-principle/,https://www.taishinbank.com.tw/TSB/personal/insurance/policy/taxation-principle/
110,相關法規連結,/TSB/personal/insurance/policy/rule/,https://www.taishinbank.com.tw/TSB/personal/insurance/policy/rule/
111,合作保險公司,/TSB/personal/insurance/policy/cooperative/,https://www.taishinbank.com.tw/TSB/personal/insurance/policy/cooperative/
112,經濟部商業司營業資料查詢,/TSB/personal/insurance/policy/Department-of-Commerce/,https://www.taishinbank.com.tw/TSB/personal/insurance/policy/Department-of-Commerce/
113,最新消息 ,https://mkp.taishinbank.com.tw/TsCms/marketing/expose/WM_20191104110939886/index.html,https://www.taishinbank.com.twhttps://mkp.taishinbank.com.tw/TsCms/marketing/expose/WM_20191104110939886/index.html
114,台新Point,https://reward.taishinbank.com.tw/,https://www.taishinbank.com.twhttps://reward.taishinbank.com.tw/
115,翡翠會員,/TSB/personal/wealth/personal/jade-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/personal/jade-member/
116,金鑽會員,/TSB/personal/wealth/personal/diamond-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/personal/diamond-member/
117,千萬會員,/TSB/personal/wealth/personal/wealthy-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/personal/wealthy-member/
118,尊爵會員,/TSB/personal/wealth/personal/monarch-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/personal/monarch-member/
119,富裕會員,/TSB/personal/wealth/personal/affluent-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/personal/affluent-member/
120,家庭會員,/TSB/personal/wealth/other/family-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/other/family-member/
121,YBO會員,/TSB/personal/wealth/other/ybo-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/other/ybo-member/
122,雲端會員,/TSB/personal/wealth/other/ezrich-member/,https://www.taishinbank.com.tw/TSB/personal/wealth/other/ezrich-member/
123,線上櫃檯,https://www.taishinbank.com.tw/eService/eCounter/,https://www.taishinbank.com.tw/eService/eCounter/
124,繳費中心,https://www.taishinbank.com.tw/eService/payment/,https://www.taishinbank.com.tw/eService/payment/
125,台新Point,https://reward.taishinbank.com.tw/,https://www.taishinbank.com.twhttps://reward.taishinbank.com.tw/
126,網路銀行,/TSB/personal/digital/Digital-Platform/internet-banking/apply-for-membership/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/internet-banking/apply-for-membership/
127,行動銀行,/TSB/personal/digital/Digital-Platform/mobile-banking/online-download/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/mobile-banking/online-download/
128,Richart數位銀行,/TSB/personal/digital/Digital-Platform/richart-digital-bank/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/richart-digital-bank/
129,ATM,/TSB/personal/digital/Digital-Platform/atm/atm/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/atm/atm/
130,Richart Life,/TSB/personal/digital/Digital-Platform/Richart-Life/key-function/,https://www.taishinbank.com.tw/TSB/personal/digital/Digital-Platform/Richart-Life/key-function/
